,City,Country,Longitude,Latitude,Max Temperature,Humidity,Cloud Cover,Wind Speed
0,sitka,us,-99.65,37.17,17.37,65,0,3.18
1,aden,ye,45.03,12.79,76.32,100,76,12.8
2,nishihara,jp,139.53,35.74,50.0,49,20,6.93
3,marystown,ca,-55.16,47.17,13.05,100,8,3.74
4,punta arenas,cl,-70.91,-53.16,50.0,81,75,10.29
5,saint george,bm,-64.68,32.38,69.8,88,40,24.16
6,rikitea,pf,-134.97,-23.12,76.27,100,92,22.53
7,hobart,au,147.33,-42.88,73.4,60,40,19.46
8,new norfolk,au,147.06,-42.78,73.4,60,40,19.46
9,kalmunai,lk,81.82,7.42,82.44,75,8,9.89
10,yumen,cn,97.04,40.29,17.32,87,20,4.41
11,longyearbyen,sj,15.64,78.22,15.8,78,20,3.36
12,mar del plata,ar,-67.52,-46.43,61.74,58,0,7.54
13,lakes entrance,au,147.99,-37.88,94.63,34,0,7.43
14,torbay,ca,-52.73,47.66,5.0,92,5,4.7
15,hasaki,jp,140.83,35.73,48.2,34,20,5.82
16,tuku,tw,120.39,23.68,75.2,78,75,5.82
17,haines junction,ca,-137.51,60.75,-3.83,67,76,2.17
18,port lincoln,au,135.86,-34.72,68.98,80,0,14.36
19,pattoki,pk,73.85,31.02,57.1,96,68,4.41
20,albany,au,117.88,-35.02,71.6,46,75,17.22
21,atuona,pf,-139.03,-9.8,78.88,100,76,13.35
22,bilma,ne,12.92,18.69,40.9,61,0,2.84
23,malanje,ao,16.35,-9.54,65.7,99,8,3.4
24,viseu,br,-46.14,-1.2,78.12,92,76,8.99
25,dikson,ru,80.55,73.51,1.53,91,64,5.08
26,mayumba,ga,10.65,-3.44,77.22,100,88,3.4
27,victoria,sc,55.45,-4.62,84.2,70,20,3.36
28,nikolskoye,ru,30.79,59.7,19.4,92,75,4.47
29,kodiak,us,-94.76,39.95,33.8,50,1,4.7
30,avarua,ck,-159.78,-21.21,78.8,94,90,2.24
31,nelson bay,au,152.14,-32.72,93.2,41,0,13.87
32,ushuaia,ar,-68.31,-54.81,48.2,66,40,19.46
33,lompoc,us,-120.46,34.64,44.96,65,1,3.36
34,america dourada,br,-41.44,-11.46,67.5,65,0,9.44
35,kattivakkam,in,80.32,13.22,80.6,65,0,8.05
